Example|Class|Clause|Cl.Val|Example_BoW|ClassName|ClauseText|CorrectLabel
4|0|4|1|". , any its Agreement the of or 1 ) shall but majority is - pursuant and [PAD] for the majority of pursuant to a Party [PAD] [PAD] that such term have effect Source / Section forth in the set forth Applicable provided full until that are to Section , as from "" written , and the term ) . "" Agreement . 1 or other or its shall not or otherwise , for in effect Product K - K K , , but Affiliate Affiliates time to its Affiliates necessary longer necessary to meaning connection in connection connection with Year operating and , , 8 8 - power such Party Fee mean shall mean Plan a majority Business the Product term "" procedures and standard operating procedures to by corresponding Review updated time as but is Calendar Compliance 2.5 Marketing the Marketing entities subsidiaries restrictions a corporation governing Calendar Year Conduct partial elect ordinary the ordinary contract or Supplemental Section 2.5 managing preamble the preamble voting power"|0.0|procedures;|GoldPredicted
5|0|4|1|". , any may this Agreement the of or ( ) all shall and order this Agreement or any thereof , may be a Party that such have Section For forth Agreement . set forth Applicable Term that are , as , or from including "" applicable ( including other than , and ) . day Service Term , the Term or other deemed be deemed Regulatory Product portion , shall any portion time to contemplated meaning Party "" connection in connection connection with Year operating applicable to to a activities such Party Law same the same amendments mean shall mean amended Business Day Business Day court the Product by this thereto procedures and standard operating procedures to by permit references to rule successors contemplated by authority or Calendar , judgment or services court , 3.6 Applicable Law administrative than a , regulation Expense injunction or , agency Approvals Calendar Year Conduct performed under amendments , ordinance the amounts or permit same may Regulatory Approvals , order any payments decree department other public arbitral holiday any Applicable"|0.0|procedures;|GoldPredicted
11|0|0|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|0|2|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|0|20|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|1|3|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|1.0|d;( d;d );|
12|0|0|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|0|2|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|0|20|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|1|3|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|1.0|d;( d;d );|
13|1|3|1|". , any the of or less one ( ) shall % - and [PAD] Source For on b paid an ( a a ) ( b b ) ) the under the , or 5 "" ) . Service party party , party . ) any out , shall health who d ( d d ) ( e hundred one hundred member ; ( person mean shall mean owned network . controlled value of foregoing . "" to governmental officer Compensation ( g office , holds entity or member of as determined a member 100 100 % Sales . of Sales , government ( 100 providers 5 Source officer , Gross"|1.0|d;( d;d );|
17|0|0|1|". , any may this the of or ( ) all shall - and thereof , for the that term have Section For forth in the set forth Person b an Third ( a a ) , ( ( b b ) Third Party including "" , and ) . Service a "" shall not Product portion , shall health care who d ( d d ) ( e may include cost own extension existing meaning and all Party "" or in granted to a equivalent similar addition , mean shall mean any and the Product included in foregoing . Product . substantially counterparts Person "" organizations extensions , the cost his adjustments and health entities ( f her , partnership agencies applications , substantially similar Patent inventor States and a given his or or her providers continuations of his this definition entity that preamble mean a the preamble individual , , patent"|0.0|( b;d;( d;d );|GoldPredicted
17|0|2|1|". , any may this the of or ( ) all shall - and thereof , for the that term have Section For forth in the set forth Person b an Third ( a a ) , ( ( b b ) Third Party including "" , and ) . Service a "" shall not Product portion , shall health care who d ( d d ) ( e may include cost own extension existing meaning and all Party "" or in granted to a equivalent similar addition , mean shall mean any and the Product included in foregoing . Product . substantially counterparts Person "" organizations extensions , the cost his adjustments and health entities ( f her , partnership agencies applications , substantially similar Patent inventor States and a given his or or her providers continuations of his this definition entity that preamble mean a the preamble individual , , patent"|0.0|( b;d;( d;d );|GoldPredicted
17|0|20|1|". , any may this the of or ( ) all shall - and thereof , for the that term have Section For forth in the set forth Person b an Third ( a a ) , ( ( b b ) Third Party including "" , and ) . Service a "" shall not Product portion , shall health care who d ( d d ) ( e may include cost own extension existing meaning and all Party "" or in granted to a equivalent similar addition , mean shall mean any and the Product included in foregoing . Product . substantially counterparts Person "" organizations extensions , the cost his adjustments and health entities ( f her , partnership agencies applications , substantially similar Patent inventor States and a given his or or her providers continuations of his this definition entity that preamble mean a the preamble individual , , patent"|0.0|( b;d;( d;d );|GoldPredicted
17|1|3|1|". , any may this the of or ( ) all shall - and thereof , for the that term have Section For forth in the set forth Person b an Third ( a a ) , ( ( b b ) Third Party including "" , and ) . Service a "" shall not Product portion , shall health care who d ( d d ) ( e may include cost own extension existing meaning and all Party "" or in granted to a equivalent similar addition , mean shall mean any and the Product included in foregoing . Product . substantially counterparts Person "" organizations extensions , the cost his adjustments and health entities ( f her , partnership agencies applications , substantially similar Patent inventor States and a given his or or her providers continuations of his this definition entity that preamble mean a the preamble individual , , patent"|1.0|d;( d;d );|
19|0|0|1|". , any may its the of or ( ) shall accordance required - and for the in accordance accordance with in the ) and claims Applicable on b provided ( a a ) , ( ( b b ) ) the under the including related "" applicable ( including , and Service the "" or its use Product relating the applicable Product , relating to d ( d d ) ( e Affiliates which may may include its Affiliates 11 data program further by any appropriate mean shall mean Plan the Product thereto labeling use of ) use testing regarding Materials Laws Applicable Laws supplements training Marketing pre pre - Representatives Service "" analysis laboratory analysis , Training as determined Promotional Materials Plan and test Sales Representatives screening "" in permissible training program any changes center"|0.0|( b;d;( d;d );|GoldPredicted
19|0|2|1|". , any may its the of or ( ) shall accordance required - and for the in accordance accordance with in the ) and claims Applicable on b provided ( a a ) , ( ( b b ) ) the under the including related "" applicable ( including , and Service the "" or its use Product relating the applicable Product , relating to d ( d d ) ( e Affiliates which may may include its Affiliates 11 data program further by any appropriate mean shall mean Plan the Product thereto labeling use of ) use testing regarding Materials Laws Applicable Laws supplements training Marketing pre pre - Representatives Service "" analysis laboratory analysis , Training as determined Promotional Materials Plan and test Sales Representatives screening "" in permissible training program any changes center"|0.0|( b;d;( d;d );|GoldPredicted
19|0|20|1|". , any may its the of or ( ) shall accordance required - and for the in accordance accordance with in the ) and claims Applicable on b provided ( a a ) , ( ( b b ) ) the under the including related "" applicable ( including , and Service the "" or its use Product relating the applicable Product , relating to d ( d d ) ( e Affiliates which may may include its Affiliates 11 data program further by any appropriate mean shall mean Plan the Product thereto labeling use of ) use testing regarding Materials Laws Applicable Laws supplements training Marketing pre pre - Representatives Service "" analysis laboratory analysis , Training as determined Promotional Materials Plan and test Sales Representatives screening "" in permissible training program any changes center"|0.0|( b;d;( d;d );|GoldPredicted
19|1|3|1|". , any may its the of or ( ) shall accordance required - and for the in accordance accordance with in the ) and claims Applicable on b provided ( a a ) , ( ( b b ) ) the under the including related "" applicable ( including , and Service the "" or its use Product relating the applicable Product , relating to d ( d d ) ( e Affiliates which may may include its Affiliates 11 data program further by any appropriate mean shall mean Plan the Product thereto labeling use of ) use testing regarding Materials Laws Applicable Laws supplements training Marketing pre pre - Representatives Service "" analysis laboratory analysis , Training as determined Promotional Materials Plan and test Sales Representatives screening "" in permissible training program any changes center"|1.0|d;( d;d );|
22|1|1|1|". , the of Period or ( ) shall - and a Party such have Section their For forth in the their respective set forth full an 8.1 Term , as under the including above Sections "" , and "" Term Term "" ) . Renewal Renewal Term use Health who Affiliates , such meaning Period "" and , to a contractors such Party agents mean "" Territory Territory "" shall mean Plan America to by investment details America , Affiliates and 50 Parties , internal Senior Executive or services 3.6 Marketing use in 's employees agents or Expense Plan . Expenses Representatives 8.1 . Representatives "" full - and their 8.7 Sales Representatives District fifty States and Shared ( 50 8.2 ."|1.0|and their;|
22|1|17|1|". , the of Period or ( ) shall - and a Party such have Section their For forth in the their respective set forth full an 8.1 Term , as under the including above Sections "" , and "" Term Term "" ) . Renewal Renewal Term use Health who Affiliates , such meaning Period "" and , to a contractors such Party agents mean "" Territory Territory "" shall mean Plan America to by investment details America , Affiliates and 50 Parties , internal Senior Executive or services 3.6 Marketing use in 's employees agents or Expense Plan . Expenses Representatives 8.1 . Representatives "" full - and their 8.7 Sales Representatives District fifty States and Shared ( 50 8.2 ."|1.0|their;and their;|
26|1|3|1|. , any its participation Agreement the of or one ( ) all shall but is required - least and will date participation in at the or any the other at least event solely Section forth Agreement . set forth on The if . The , or other Party from costs including promptly days applicable ( including , and ) days for a first either from the expenses and will by either entitled the applicable be entitled d ( d d ) , but for , including the days in responsible least one the Agreement fifteen in any 15 and all ; ( connection in connection connection with Year modifications modifications to activities the next any and the first Plan meeting fifteen ( ( 15 15 ) submitted by therein required to meetings present in no personnel review , committee level and each Calendar approve working travel Marketing participating costs or shall : group if at Representatives Calendar Year minutes Responsibilities Responsibilities . implementation a Calendar meetings of JSC the JSC implementation of therein , minutes of its Representatives Parties will JSC shall travel expenses approve the budget|1.0|d;( d;d );|
27|0|8|1|. , any this Agreement the of or ( ) agreement all shall but - and will [PAD] this Agreement or any , to subject matter of this [PAD] [PAD] defined Source Section in the defined in consent The . The , as , or including related first use K - K K , , but ( e and other necessary contemplated 11 data necessary to ; ( before the , 8 8 - activities both the subject Matter the first Plan as defined submitted by matters Co Co - of both data and dispute review , committee Parties , properly level and each approve Senior the number working brought Marketing reports review and group Expenses formed discuss and allocation contemplated in allocation of as determined JSC the JSC reports , ix ( ix ix ) Shared JSC shall viii ( viii viii ) and discuss approve the|0.0|Agreement;this Agreement;in the;|GoldPredicted
27|0|22|1|. , any this Agreement the of or ( ) agreement all shall but - and will [PAD] this Agreement or any , to subject matter of this [PAD] [PAD] defined Source Section in the defined in consent The . The , as , or including related first use K - K K , , but ( e and other necessary contemplated 11 data necessary to ; ( before the , 8 8 - activities both the subject Matter the first Plan as defined submitted by matters Co Co - of both data and dispute review , committee Parties , properly level and each approve Senior the number working brought Marketing reports review and group Expenses formed discuss and allocation contemplated in allocation of as determined JSC the JSC reports , ix ( ix ix ) Shared JSC shall viii ( viii viii ) and discuss approve the|0.0|Agreement;this Agreement;in the;|GoldPredicted
27|1|11|1|. , any this Agreement the of or ( ) agreement all shall but - and will [PAD] this Agreement or any , to subject matter of this [PAD] [PAD] defined Source Section in the defined in consent The . The , as , or including related first use K - K K , , but ( e and other necessary contemplated 11 data necessary to ; ( before the , 8 8 - activities both the subject Matter the first Plan as defined submitted by matters Co Co - of both data and dispute review , committee Parties , properly level and each approve Senior the number working brought Marketing reports review and group Expenses formed discuss and allocation contemplated in allocation of as determined JSC the JSC reports , ix ( ix ix ) Shared JSC shall viii ( viii viii ) and discuss approve the|1.0|Agreement;this Agreement;, as;|
27|1|25|1|. , any this Agreement the of or ( ) agreement all shall but - and will [PAD] this Agreement or any , to subject matter of this [PAD] [PAD] defined Source Section in the defined in consent The . The , as , or including related first use K - K K , , but ( e and other necessary contemplated 11 data necessary to ; ( before the , 8 8 - activities both the subject Matter the first Plan as defined submitted by matters Co Co - of both data and dispute review , committee Parties , properly level and each approve Senior the number working brought Marketing reports review and group Expenses formed discuss and allocation contemplated in allocation of as determined JSC the JSC reports , ix ( ix ix ) Shared JSC shall viii ( viii viii ) and discuss approve the|1.0|Agreement;this Agreement;use;|
31|0|4|1|". , any its participation this Agreement the of or less ( ) agreement all shall required - and will participation in this Agreement or any the other agreement of mutual such occur have solely Agreement . mutual agreement in the on b The upon , ( ( b b ) . The , or other Party from costs including "" within applicable ( including , and "" ) ) . either ( each a "" more ) either from the to such out expenses and will by either entitled the applicable be entitled prepare for , responsible designated the Agreement designated by in any and all ) which connection in connection connection with once activities such Party person any and knowledge required to meetings Co Co - procedures to by Party to make each , personnel the scope committee internal working travel and services costs or shall : services in group frequently Representatives and expertise video Responsibilities Responsibilities . ) be JSC the JSC its Representatives Meetings travel expenses commercialization"|0.0|procedures;|GoldPredicted
32|1|3|1|. , any Agreement the of or ( ) shall accordance is - pursuant and [PAD] in accordance accordance with pursuant to [PAD] [PAD] that such Source Section Agreement . in the 13 Source consent The . The to Section including , and Service into or otherwise provide Product supply K d - K K , ( d d ) prepare and other proposed data the Agreement that a ; ( connection in connection connection with completed , 8 8 - they appropriate capacity Plan Plan , ) with data and personnel Compliance to meet inventory Marketing supply , reports forecast review and Expense shall : capacity to Plan . Expenses ) provide allocation allocation of Responsibilities Responsibilities . inventory , JSC the JSC prepare the reports , is completed ix ( ix ix ) Shared tactics monitor and Product viii ( viii viii ) inform the revision capacity ,|1.0|d;( d;d );|
33|0|8|1|". , any may this Agreement the of one ( ) agreement reached shall Committee accordance is - and will operation Party may this Agreement may be in accordance accordance with event such Section Effective Date in the the Effective Effective Date Applicable The continue until ( a a ) . The under the from action including "" within thirty 30 days , and ( "" "" ) ) . within thirty thirty ( ( 30 30 ) ) days following either ( the the "" then into from the to such out except , except by either d regulatory ( d d ) Agreement in in any Unless . Unless legal member completed and , shall continue . 2.3 activities Law appropriate Joint Matter Plan meetings Party to regarding Review the then resolved appoint disputed Date ( the case , within comprised activities under comprised of then - - current Compliance supervision of Applicable Law Marketing administration Plan . Representatives except in , legal legal and and regulatory establish a Committee . setting JSC the JSC Law , is completed Parties will and operation"|0.0|Agreement;this Agreement;in the;|GoldPredicted
33|0|22|1|". , any may this Agreement the of one ( ) agreement reached shall Committee accordance is - and will operation Party may this Agreement may be in accordance accordance with event such Section Effective Date in the the Effective Effective Date Applicable The continue until ( a a ) . The under the from action including "" within thirty 30 days , and ( "" "" ) ) . within thirty thirty ( ( 30 30 ) ) days following either ( the the "" then into from the to such out except , except by either d regulatory ( d d ) Agreement in in any Unless . Unless legal member completed and , shall continue . 2.3 activities Law appropriate Joint Matter Plan meetings Party to regarding Review the then resolved appoint disputed Date ( the case , within comprised activities under comprised of then - - current Compliance supervision of Applicable Law Marketing administration Plan . Representatives except in , legal legal and and regulatory establish a Committee . setting JSC the JSC Law , is completed Parties will and operation"|0.0|Agreement;this Agreement;in the;|GoldPredicted
33|1|3|1|". , any may this Agreement the of one ( ) agreement reached shall Committee accordance is - and will operation Party may this Agreement may be in accordance accordance with event such Section Effective Date in the the Effective Effective Date Applicable The continue until ( a a ) . The under the from action including "" within thirty 30 days , and ( "" "" ) ) . within thirty thirty ( ( 30 30 ) ) days following either ( the the "" then into from the to such out except , except by either d regulatory ( d d ) Agreement in in any Unless . Unless legal member completed and , shall continue . 2.3 activities Law appropriate Joint Matter Plan meetings Party to regarding Review the then resolved appoint disputed Date ( the case , within comprised activities under comprised of then - - current Compliance supervision of Applicable Law Marketing administration Plan . Representatives except in , legal legal and and regulatory establish a Committee . setting JSC the JSC Law , is completed Parties will and operation"|1.0|d;( d;d );|
35|1|3|1|". , any may its participation Agreement the of or ( ) agreement all reached shall accordance required - and will participation in or any may be in accordance that such / Agreement . Applicable on an Third The that may Third Party . The , or including related "" , and "" ) either ( the the "" ' then expenses by either use Product who d ( d d ) and other responsible data the Agreement in any used ) which connection in connection connection with determine to a Law appropriate Matter the Product use , required to all such meetings be responsible Party to other form Product . Review be used used in ( such to determine personnel disputed intended Materials Parties ' and each organizations shall also an appropriate likely likely to travel that all Compliance all Product with Applicable Applicable Law Law and review and other communication Product or Representatives disease Promotional Materials Responsibilities Responsibilities . economic JSC the JSC its Representatives education travel expenses patients"|1.0|d;( d;d );|
38|0|4|1|. , any may this Agreement the of or ( ) shall - and this Agreement the other may be of this a Party event that such / terms Agreement . in the the event the terms Applicable b The ( a a ) ( b b ) ) the . The under the , or other Party promptly related material applicable , and ' Products ) any and shall federal health care has criminal the Products notify program Products , ; ( applicable to terms of activities laws or Subject Plan matters issue procedures has a Subject to point of Review for which Agreement for contact process shall promptly promptly notify Laws Applicable Laws Parties ' facilitate the or services activities under Compliance guidance with Applicable Marketing administrative any federal aware becomes aware aware of Plan . Notification ' respective Responsibilities Responsibilities . JSC the JSC , civil monitor or administrative|0.0|procedures;|GoldPredicted
39|0|4|1|". , any may its this Agreement the of or ( ) shall - and [PAD] this Agreement the other may be a Party [PAD] [PAD] event that such have Source Agreement . the event Applicable on an ) the that are under the , or other Party including promptly related "" applicable ( including "" ) any applicable following either on the Products ) any except , except determines federal health care K criminal - K K , the Products including the information extent the extent program Agreement ( Products , 16 legal disclosure extent that , 8 8 - applicable to laws or Law could procedures determines that Party to regarding ) with for which and procedures such disclosure counsel shall promptly Laws Applicable Laws privilege or services client position Compliance significant guidance Applicable Law administrative any federal impact the Party adverse adverse impact impact on investigation , that either , civil information regarding evidence of disclosure to 's counsel or administrative Laws ( inform the"|0.0|procedures;|GoldPredicted
40|1|3|1|. , its this Agreement the of or ( ) all shall accordance 3 is - and this Agreement the other for the in accordance accordance with of this that such have / Date terms forth in the Agreement ) the terms set forth Applicable on an AND Term ( a a ) other Party including Sections promptly applicable ( including ( other other than , and conditions terms and and conditions on the the Term except provide Product the applicable the right , shall d and non ( d d ) Affiliates its Affiliates including the information notify . 3 3 . except as , such legal 3.1 hereby accepts , on charge disclose . 3.1 Plan Launch the Product Affiliates , the Launch Launch Date could Co the Co Co - transferable - transferable jointly regarding Review personnel shall promptly promptly notify Laws Applicable Laws privilege client position Compliance significant 3.6 Marketing impact MARKETING Plan . Representatives adverse adverse impact impact on explicitly to specific Sales Representatives Exclusive such right ) Each information regarding writing that Laws ( all Applicable exceptions|1.0|d;( d;d );|
48|1|25|1|". , any may this Agreement the of or ( ) all shall accordance is required - and [PAD] this Agreement may be for the in accordance accordance with [PAD] [PAD] that such Source Date in the settlement Applicable on Term immediately that may that are related "" "" ) following initial either ( the the "" Term , period sale the Term or other use Product relating relating to K regulatory - K K , information ; ( , 8 8 - six Law by any appropriate Plan Plan , Launch the Product limiting submitted to distribution the manufacture the Launch Launch Date required to Co the Co Co - use of included in or use Laws Applicable Laws Market , a timely preparing immediately following with Applicable Applicable Law Marketing reports , is per the sale or shall : submitting Representatives Responsibilities Plan and Responsibilities . Sales Representatives reports and handling , of Sales all regulatory establish and maintain a and Product"|1.0|Agreement;this Agreement;use;|
50|1|3|1|. , any its the of ( ) all shall accordance - pursuant and reasonable [PAD] at the the other for the in accordance accordance with pursuant to [PAD] [PAD] such provisions have Source Section their in the the provisions on 21 an The . The , as other Party from Sections applicable on the from the for such provide Product K d - K K , ( d d ) and other own its own provisions of 4.1 2019 ; ( Year , 8 8 - support activities same the same Subject Plan Plan , the Product Subject to investment included in ) with updated Materials Materials , Calendar internal each such preparing 3.6 Marketing ) Subject the Party Plan . Representatives ) provide discretion to Calendar Year Training Promotional Materials Plan and the remainder Sales Representatives and practices lists plan , tactics|1.0|d;( d;d );|
